"Extension","Category","Format","Developer","Mime Type","Programming Language"
".php","Common File Types","Text","Not Available","text/x-pascal","PHP"
".html","Common File Types","Text","Not Available","text/html","HTML"
".txt","Common File Types","Text","Not Available","text/troff","Text"
".htm","Common File Types","Text","Not Available","text/html","HTML"
".aspx","Common File Types","Text","Microsoft","mime-type/not.available","ASP"
".asp","Common File Types","Text","Microsoft","text/asp","ASP"
".js","Common File Types","Text","Not Available","application/javascript","JavaScript"
".css","Common File Types","Text","Not Available","text/x-c","CSS"
".pdf","Common File Types","Binary","Adobe","text/x-pascal","Not Found"
".cgi","Common File Types","Text and Binary","Not Available","text/x-c","Shell"
".inc","Developer Files","Text","Not Available","mime-type/not.available","SourcePawn"
".gif","Common File Types","Binary","CompuServe","image/gif","Not Found"
".jpg","Common File Types","Binary","Joint Photographic Experts Group","image/jpeg","Not Found"
".swf","Common File Types","Binary","Adobe","text/x-asm","Not Found"
".xml","Data Files","XML","Not Available","application/xml","XML"
".cfm","Common File Types","Text","Adobe","text/x-c","ColdFusion"
".xhtml","Common File Types","XML","Not Available","application/xhtml+xml","HTML"
".wmv","Common File Types","Binary","Microsoft","video/x-ms-wmv","Not Found"
".zip","Common File Types","Zip","Phil Katz","application/zip","Not Found"
".axd","Web Files","Binary","Microsoft","mime-type/not.available","ASP"
".gz","Common File Types","Binary","The GNU Project","application/x-compressed","Not Found"
".png","Common File Types","Binary","PNG Development Group","text/x-pascal","Not Found"
".doc","Text Files","Not Available","Microsoft","application/msword","Not Found"
".shtml","Web Files","Text","Not Available","application/x-sh","Not Found"
".jsp","Common File Types","Text","Oracle","application/javascript","Java Server Pages"
".ico","Common File Types","Binary","Microsoft","image/x-icon","Not Found"
".exe","Common File Types","Binary","Microsoft","application/x-msdownload","Not Found"
".csi","Developer Files","Text","Campbell Scientific","mime-type/not.available","Not Found"
".config","Developer Files","Text","Not Available","mime-type/not.available","Not Found"
".jpeg","Raster Image Files","Binary","Joint Photographic Experts Group","image/jpeg","Not Found"
".ashx","Web Files","Text","Microsoft","mime-type/not.available","ASP"
".log","Data Files","Text","Avira Operations","text/plain","Not Found"
".xls","Common File Types","Binary","Microsoft","application/vnd.ms-excel","Not Found"
".old","Backup Files","Not Available","Not Available","mime-type/not.available","Not Found"
".mp3","Audio Files","Binary","Moving Picture Experts Group","audio/mpeg3","Not Found"
".com","Common File Types","Binary","Microsoft","text/x-c","DIGITAL Command Language"
".tar","Data Files","Binary","Jean-loup Gailly","text/troff","Not Found"
".ini","Data Files","Text","MakeMusic","mime-type/not.available","INI"
".asa","Web Files","Text","Not Available","mime-type/not.available","Not Found"
".tgz","Compressed Files","Not Available","Not Available","application/gnutar","Not Found"
".flv","Common File Types","Binary","Adobe","video/x-flv","Not Found"
".php3","Web Files","Text","Not Available","mime-type/not.available","PHP"
".bak","Common File Types","Not Available","Not Available","mime-type/not.available","Not Found"
".rar","Common File Types","Binary","Eugene Roshal","application/x-rar-compressed","Not Found"
".asmx","Web Files","Not Available","Microsoft","mime-type/not.available","ASP"
".xlsx","Common File Types","Not Found","Microsoft","application/ vnd.openxmlformats-officedocument.spreadsheetml.sheet","Not Found"
".page","Data Files","Text and Binary","Samsung","mime-type/not.available","Not Found"
".phtml","Web Files","Text","Not Available","mime-type/not.available","HTML+PHP"
".dll","Common File Types","Binary","Microsoft","mime-type/not.available","Not Found"
".asax","Web Files","Text","Microsoft","mime-type/not.available","ASP"
".msg","Common File Types","Binary","Microsoft","mime-type/not.available","Not Found"
".pl","Common File Types","Text","Not Available","text/plain","Prolog"
".csv","Data Files","Text","Not Available","text/x-c","CSV"
".ppt","Data Files","Binary","Microsoft","text/x-pascal","Not Found"
".nsf","Audio Files","Not Available","Not Available","application/vnd.lotus-notes","Not Found"
".bmp","Common File Types","Binary","Microsoft","image/bmp","Not Found"
".sql","Common File Types","Text","ISO IEC","text/x-asm","SQLPL"
".new","Misc Files","Not Available","Google","mime-type/not.available","Not Found"
".avi","Common File Types","Binary","Microsoft","video/x-msvideo","Not Found"
".psd","Common File Types","Binary","Adobe","text/x-pascal","Not Found"
".rss","Common File Types","XML","Not Available","application/rss+xml","XML"
".wav","Common File Types","Binary","Microsoft and IBM","audio/x-wav","Not Found"
".action","Executable Files","Not Available","Apple","application/pkix-attr-cert","Not Found"
".db","Misc Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".dat","Misc Files","Binary","Jordan Russel","mime-type/not.available","Not Found"
".do","Web Files","Not Available","Not Available","mime-type/not.available","Stata"
".xsl","Data Files","XML","Not Available","mime-type/not.available","XSLT"
".class","Developer Files","Binary","Oracle","text/x-c","Not Found"
".mdb","Data Files","Binary","Avid Technology","application/x-msaccess","Not Found"
".cs","Developer Files","Text","Microsoft","text/x-c","Smalltalk"
".htc","Web Files","Text","Microsoft","text/x-component","Not Found"
".mov","Common File Types","Binary","Apple","video/quicktime","Not Found"
".tpl","Misc Files","Not Available","Not Available","application/vnd.groove-tool-template","Smarty"
".mpg","Common File Types","Binary","Not Available","audio/mpeg","Not Found"
".rdf","Settings Files","Text","Not Available","application/rdf+xml","XML"
".rtf","Common File Types","Text","Microsoft","application/rtf","Not Found"
".ascx","Web Files","Not Available","Microsoft","mime-type/not.available","ASP"
".mvc","Video Files","Not Available","Not Available","mime-type/not.available","Not Found"
".master","Web Files","Text","Microsoft","application/mathematica","Not Found"
".jar","Common File Types","Zip","Oracle","application/java-archive","Not Found"
".vb","Audio Files","Binary","Rockstar Games","mime-type/not.available","Visual Basic"
".mp4","Common File Types","Binary","Moving Picture Experts Group","video/mp4","Not Found"
".fla","Developer Files","Not Available","Adobe","text/x-fortran","Not Found"
".de","Page Layout Files","Not Available","DrawExpress","mime-type/not.available","Not Found"
".docx","Common File Types","Not Found","Microsoft","application/ vnd.openxmlformats-officedocument.wordprocessingml.document","Not Found"
".php5","Web Files","Text","Not Available","mime-type/not.available","PHP"
".readme","Text Files","Not Available","Not Available","mime-type/not.available","Not Found"
".cfg","Settings Files","Not Available","NewTek","text/x-c","INI"
".cfc","Developer Files","Text","Adobe","mime-type/not.available","ColdFusion CFC"
".dwt","Web Files","Text","Adobe","mime-type/not.available","Not Found"
".ru","Developer Files","Text","Not Available","mime-type/not.available","Ruby"
".lck","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".net","Data Files","Not Available","netViz","mime-type/not.available","Not Found"
".ttf","Common File Types","Not Available","Apple","text/troff","Not Found"
".jhtml","Web Files","Not Available","Not Available","mime-type/not.available","Not Found"
".mpeg","Video Files","Not Available","Not Available","video/mpeg","Not Found"
".php4","Web Files","Not Available","Not Available","mime-type/not.available","PHP"
".vcf","Data Files","Text and Binary","Not Available","text/x-vcard","Not Found"
".tif","Common File Types","Binary","Adobe","text/troff","Not Found"
".dir","Video Files","Not Available","Adobe","application/x-director","Not Found"
".json","Web Files","Text","Not Available","application/json","JSON"
".zif","Raster Image Files","Not Available","Zoomorama","mime-type/not.available","Not Found"
".wma","Audio Files","Binary","Microsoft","video/x-ms-wm","Not Found"
".mid","Game Files","Text and Binary","Not Available","audio/midi","Not Found"
".rm","Common File Types","Binary","RealNetworks","application/vnd.rn-realmedia","Not Found"
".woa","Web Files","Not Available","Apple","mime-type/not.available","Not Found"
".ram","Audio Files","Binary","RealNetworks","audio/x-pn-realaudio","Not Found"
".opml","Web Files","XML","The Omni Group","mime-type/not.available","Not Found"
".lasso","Web Files","Not Available","LassoSoft","mime-type/not.available","Lasso"
".shtm","Web Files","Text","Not Available","application/x-sh","Not Found"
".sitemap","Web Files","XML","Microsoft","application/x-stuffit","Not Found"
".scc","Video Files","Binary","Telestream","application/vnd.ibm.secure-container","Not Found"
".tmp","Common File Types","Not Available","Not Available","text/troff","Not Found"
".backup","Backup Files","Binary","Google","mime-type/not.available","Not Found"
".sln","Developer Files","Not Available","Microsoft","text/x-asm","Not Found"
".org","Data Files","Not Available","IBM","application/vnd.lotus-organizer","Org"
".conf","Settings Files","Text","Not Available","text/plain","Not Found"
".orig","Backup Files","Text and Binary","Not Available","mime-type/not.available","Not Found"
".cab","Common File Types","Binary","Microsoft","text/x-c","Not Found"
".kml","Common File Types","XML","Google","application/vnd.google-earth.kml+xml","XML"
".pps","Data Files","Binary","Microsoft","text/x-pascal","Not Found"
".asx","Developer Files","Not Available","Alpha Software","application/x-mplayer2","Not Found"
".bok","Data Files","Not Available","Pearson Education","mime-type/not.available","Not Found"
".msi","Misc Files","Binary","Microsoft","mime-type/not.available","Not Found"
".c","Common File Types","Text","Not Available","text/x-c","C"
".fcgi","Web Files","Text","FastCGI","mime-type/not.available","Shell"
".bin","Data Files","N/A","Not Available","application/octet-stream","Not Found"
".htaccess","Web Files","Text","Not Available","mime-type/not.available","Not Found"
".info","Misc Files","Text","Not Available","mime-type/not.available","Not Found"
".java","Developer Files","Text","Oracle","text/x-java-source,java","Java"
".jsf","Settings Files","Not Available","Project64","application/javascript","Not Found"
".tmpl","Developer Files","Not Available","University of Kent","mime-type/not.available","Not Found"
".bat","Common File Types","Text","Microsoft","mime-type/not.available","Batchfile"
".resx","Developer Files","XML","Microsoft","application/x-dtbresource+xml","Not Found"
".ics","Audio Files","Binary","Sony","text/calendar","Not Found"
".x","Developer Files","Text","Not Available","mime-type/not.available","Logos"
".data","Data Files","Text","Appricon","mime-type/not.available","Not Found"
".dcr","Common File Types","Binary","Adobe","application/x-director","Not Found"
".licx","Developer Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".mno","Data Files","XML","Adobe","mime-type/not.available","Not Found"
".plx","Executable Files","Text","Not Available","application/x-pixclscript","Perl"
".vm","Developer Files","Text","Apache","mime-type/not.available","Not Found"
".dwg","Common File Types","Binary","Autodesk","image/vnd.dwg","Not Found"
".bz2","Compressed Files","Binary","Julian Seward","application/x-bzip2","Not Found"
".ece","Web Files","Not Available","Escenic","mime-type/not.available","Not Found"
".epc","Game Files","Binary","BBC","mime-type/not.available","Not Found"
".ice","Compressed Files","Binary","Not Available","x-conference/x-cooltalk","Not Found"
".jspa","Web Files","Not Available","Not Available","application/javascript","Not Found"
".lst","Text Files","Text","Not Available","text/plain","Not Found"
".svc","Web Files","Not Found","Microsoft","application/vnd.dvb.service","Not Found"
".vbs","Executable Files","Text","Microsoft","mime-type/not.available","Visual Basic"
".ai","Common File Types","Binary","Adobe","application/postscript","Not Found"
".cur","Common File Types","Binary","Microsoft","text/x-c","Not Found"
".dmg","Common File Types","Binary","Apple","application/x-apple-diskimage","Not Found"
".img","Game Files","Binary","Rockstar Games","mime-type/not.available","Not Found"
".inf","Settings Files","Text","Not Available","application/inf","Not Found"
".seam","Web Files","Not Available","JBoss","mime-type/not.available","Not Found"
".chm","Web Files","Binary","Microsoft","application/vnd.ms-htmlhelp","Not Found"
".csp","Web Files","Not Available","RadGs","application/vnd.commonspace","Not Found"
".file","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".m3u","Audio Files","Text","Nullsoft","audio/x-mpegurl","Not Found"
".psp","Settings Files","Not Available","Adobe","mime-type/not.available","Not Found"
".py","Developer Files","Text","Python Software Foundation","text/x-pascal","Python"
".sh","Developer Files","Text","Not Available","text/x-asm","Shell"
".dev","Developer Files","Not Available","Bloodshed","mime-type/not.available","Not Found"
".eps","Common File Types","Text","Adobe","application/postscript","PostScript"
".list","Data Files","Text","Not Available","text/plain","Not Found"
".m4v","Common File Types","Binary","Apple","video/x-m4v","Not Found"
".p","Developer Files","Text","Niklaus Wirth","text/x-pascal","OpenEdge ABL"
".bk","Page Layout Files","Not Available","Adobe","mime-type/not.available","Not Found"
".bsp","Game Files","Binary","id Software","mime-type/not.available","Not Found"
".cms","Data Files","Not Available","Microsoft","text/x-c","Not Found"
".d","Developer Files","Text","Not Available","mime-type/not.available","Makefile"
".idx","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".jad","Misc Files","Text","Oracle","text/vnd.sun.j2me.app-descriptor","Not Found"
".ssf","Video Files","Text","Not Available","application/vnd.epson.ssf","Not Found"
".stm","Web Files","Not Available","Not Available","application/vnd.sailingtracker.track","Not Found"
".as","Data Files","Binary","Apple","mime-type/not.available","ActionScript"
".au","Audio Files","Binary","Audacity","audio/basic","Not Found"
".cnf","Settings Files","Not Available","Not Available","mime-type/not.available","Not Found"
".dhtml","Web Files","Not Available","Not Available","mime-type/not.available","Not Found"
".lock","Misc Files","Text and Binary","Not Available","mime-type/not.available","JSON"
".m","Data Files","Text","Wolfram Research","text/plain","Objective-C"
".pm","Raster Image Files","Not Available","IBM","image/x-xpixmap","Perl6"
".pptx","Data Files","Zip","Microsoft","text/x-pascal","Not Found"
".sav","Settings Files","Not Available","Fortnite","text/x-asm","Not Found"
".ssi","Developer Files","Text","Adobe","text/x-server-parsed-html","Not Found"
".suo","Developer Files","Binary","Microsoft","mime-type/not.available","Not Found"
".vbproj","Developer Files","XML","Microsoft","mime-type/not.available","XML"
".wml","Web Files","Text","Not Available","video/x-ms-wm","Not Found"
".xsd","Developer Files","XML","Not Available","mime-type/not.available","XML"
".atom","Web Files","XML","Not Available","application/atom+xml","Not Found"
".bkp","Backup Files","Not Available","Not Available","mime-type/not.available","Not Found"
".crt","Web Files","Not Available","Not Available","application/pkix-cert","Not Found"
".eml","Text Files","Text and Binary","Microsoft","message/rfc822","Not Found"
".fil","Raster Image Files","Not Available","Symbian","mime-type/not.available","Not Found"
".geo","3D Image Files","Not Available","Not Available","application/vnd.dynageo","GLSL"
".h","Misc Files","Text","Not Available","text/plain","Objective-C"
".iso","Common File Types","Binary","International Organization for Standardization","mime-type/not.available","Not Found"
".kmz","Common File Types","Zip","Google","application/vnd.google-earth.kmz","Not Found"
".rec","Data Files","Text","Not Available","mime-type/not.available","Not Found"
".taf","Game Files","Binary","Campbell Wild","mime-type/not.available","Not Found"
".war","Compressed Files","Binary","Oracle","mime-type/not.available","Not Found"
".xslt","Data Files","XML","Not Available","application/xslt+xml","XSLT"
".a","Developer Files","Text","Not Available","application/octet-stream","Not Found"
".cat","Database Files","Not Available","Elcomsoft","application/vnd.ms-pki.seccat","Not Found"
".ds","3D Image Files","Text","DAZ Productions","mime-type/not.available","Not Found"
".dwf","3D Image Files","Binary","Autodesk","model/vnd.dwf","Not Found"
".film","Encoded Files","Not Available","Filmkey","mime-type/not.available","Not Found"
".g","CAD Files","Not Available","BRL-CAD","text/plain","GAP"
".go","Developer Files","Text","Google","mime-type/not.available","Go"
".gpx","Audio Files","Binary","Arobas Music","application/gpx+xml","Not Found"
".odt","Settings Files","Not Available","OriginLab","application/vnd.oasis.opendocument.text","Not Found"
".sample","Audio Files","Binary","Godot","mime-type/not.available","Not Found"
".sit","Compressed Files","Not Available","Smith Micro","application/x-stuffit","Not Found"
".src","Developer Files","Not Available","Not Available","application/x-wais-source","Not Found"
".wbp","Raster Image Files","Binary","AG Interactive","mime-type/not.available","Not Found"
".btr","Database Files","Not Available","Pervasive Software","mime-type/not.available","Not Found"
".cer","Common File Types","Binary","Not Available","text/x-c","Not Found"
".jbf","Raster Image Files","Binary","Corel","mime-type/not.available","Not Found"
".lbi","Developer Files","Binary","Adobe","mime-type/not.available","Not Found"
".lnk","Common File Types","Binary","Microsoft","mime-type/not.available","Not Found"
".mhtml","Web Files","Binary","Not Available","message/rfc822","Not Found"
".mpl","Video Files","Binary","Sony","mime-type/not.available","Not Found"
".mso","Misc Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".pgp","Misc Files","Not Available","PGP","application/pgp-signature","Not Found"
".ph","Developer Files","Not Available","Not Available","mime-type/not.available","Perl"
".site","Web Files","Not Available","Adobe","application/x-stuffit","Not Found"
".text","Text Files","Text","Not Available","text/troff","Not Found"
".web","Web Files","Binary","MAGIX","application/vnd.xara","Not Found"
".eba","Developer Files","Text","IonicWind Software","mime-type/not.available","Not Found"
".ec0","Data Files","Not Available","MetroCount","mime-type/not.available","Not Found"
".ede","Disk Image Files","Not Available","Not Available","mime-type/not.available","Not Found"
".frk","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".kb","Developer Files","Not Available","Borland","mime-type/not.available","Not Found"
".wtc","Misc Files","Not Available","Logitech","mime-type/not.available","Not Found"
".a5w","Data Files","Binary","Adobe","mime-type/not.available","Not Found"
".aac","Audio Files","Binary","Not Available","audio/x-aac","Not Found"
".adm","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".ap","Page Layout Files","Not Available","Esko","mime-type/not.available","Not Found"
".api","Settings Files","Binary","Adobe","mime-type/not.available","Not Found"
".apk","Common File Types","Zip","Google","application/vnd.android.package-archive","Not Found"
".application","Settings Files","XML","Microsoft","application/x-ms-application","Not Found"
".arj","Compressed Files","Not Available","ARJ Software","application/arj","Not Found"
".art","Developer Files","XML","Versioned","image/x-jg","Not Found"
".bc","Misc Files","Not Available","BitComet","mime-type/not.available","Not Found"
".biz","Page Layout Files","Not Available","Broderbund","mime-type/not.available","Not Found"
".bz","Compressed Files","Binary","Not Available","application/x-bzip","Not Found"
".car","Data Files","Not Available","Not Available","application/vnd.curl.car","Not Found"
".cdf","Developer Files","Not Available","Crytek","text/x-c","Mathematica"
".ce","Raster Image Files","Binary","Digital Vision","mime-type/not.available","Not Found"
".cfx","Data Files","Binary","Flow-Cal","mime-type/not.available","Not Found"
".chat","Web Files","Not Available","Not Available","application/x-chat","Not Found"
".cmp","Settings Files","Not Available","Microsoft","application/vnd.yellowriver-custom-menu","Not Found"
".cnt","System Files","Text","Microsoft","mime-type/not.available","Not Found"
".contact","Data Files","Binary","Microsoft","text/x-c","Not Found"
".crx","Common File Types","Zip","Google","text/x-c","Not Found"
".csr","Common File Types","Text","Not Available","text/x-c","Not Found"
".hwp","Text Files","Text","Not Available","mime-type/not.available","Not Found"
".ctp","Data Files","Binary","Reallusion","mime-type/not.available","PHP"
".iml","Misc Files","Not Available","Sage Software","mime-type/not.available","XML"
".d64","Disk Image Files","Not Available","Not Available","mime-type/not.available","Not Found"
".dal","Data Files","Not Available","MediaChance","mime-type/not.available","Not Found"
".inl","Developer Files","Text","Microsoft","mime-type/not.available","C++"
".inv","Game Files","Binary","Copyboy","mime-type/not.available","Not Found"
".dbml","Developer Files","XML","Microsoft","mime-type/not.available","Not Found"
".dcf","Audio Files","Binary","Sony Ericsson","mime-type/not.available","Not Found"
".jps","Backup Files","Not Available","Akeeba","image/x-jps","Not Found"
".del","Text Files","Text","Not Available","mime-type/not.available","Not Found"
".key","Common File Types","Zip","Apple","mime-type/not.available","Not Found"
".demo","Game Files","Not Available","Not Available","mime-type/not.available","Not Found"
".kit","Audio Files","Not Available","Native Instruments","mime-type/not.available","Kit"
".nz","Compressed Files","Not Available","Sami Runsas","mime-type/not.available","Not Found"
".lang","Developer Files","XML","The GNOME Project","mime-type/not.available","Not Found"
".dig","Data Files","Text","Arrakis Systems","mime-type/not.available","Not Found"
".ltr","Text Files","Not Available","Not Available","mime-type/not.available","Not Found"
".dist","Compressed Files","Text","Apple","application/vnd.mobius.dis","Not Found"
".lzh","Compressed Files","Binary","Not Available","application/octet-stream","Not Found"
".dm","Encoded Files","Not Available","LG","mime-type/not.available","DM"
".m4a","Audio Files","Binary","Apple","mime-type/not.available","Not Found"
".dms","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".md5","Misc Files","Not Available","Not Available","mime-type/not.available","Not Found"
".dump","Misc Files","Not Available","Google","application/octet-stream","Not Found"
".met","Data Files","Binary","eMule","mime-type/not.available","Not Found"
".dws","Data Files","Binary","Adobe","mime-type/not.available","Not Found"
".mht","Web Files","Binary","Not Available","message/rfc822","Not Found"
".min","Text Files","Not Available","Not Available","mime-type/not.available","Not Found"
".exp","Misc Files","Binary","Bernina","mime-type/not.available","Not Found"
".mobi","eBook Files","Binary","Amazon","mime-type/not.available","Not Found"
".fb2","eBook Files","Text","FictionBook","text/x-fortran","Not Found"
".n","Executable Files","Binary","Nicolas Cannasse","mime-type/not.available","Nemerle"
".nfo","Data Files","Binary","The FIEN Group","mime-type/not.available","Not Found"
".ffa","System Files","Not Available","Microsoft","mime-type/not.available","Not Found"
".nxg","Web Files","Not Available","Motorola","mime-type/not.available","Not Found"
".flac","Audio Files","Binary","Xiph Org Foundation","text/x-fortran","Not Found"
".ods","Misc Files","Not Available","Microsoft","application/vnd.oasis.opendocument.spreadsheet","Not Found"
".fon","Common File Types","Not Available","Not Available","text/x-fortran","Not Found"
".ori","Backup Files","Not Available","Not Available","mime-type/not.available","Not Found"
".pho","Audio Files","Binary","The MBROLA Project","text/x-pascal","Not Found"
".fp7","Database Files","Binary","FileMaker","mime-type/not.available","Not Found"
".ft","Settings Files","Binary","Planit Software","mime-type/not.available","Not Found"
".ftl","Developer Files","Text","The FreeMarker Project","mime-type/not.available","FreeMarker"
".pls","Settings Files","Not Available","Pico Technology","application/pls+xml","PLSQL"
".gb","Data Files","Text","NCBI","mime-type/not.available","Not Found"
".prc","Data Files","Binary","Corel","application/x-mobipocket-ebook","SQL"
